NAMEREC;CONTRACT2;CLIENTNAME;STREET;HOME;SERVICENUMBER;PLACE;REGISTERTYPENAME;FACTORYNUM;MOUNTDATE;PLOMBA
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Жуковского;2А;3009;;МТК  / MTW (Zenner) (Германия);1310022976;28.05.2014;0562           
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Расковой;17;5838;;МТК / MTW (Zenner) (Германия);1310020618;30.05.2014;0556           
Калининский район;71013;"ООО ""Диалог""";Медгородок;10;28700;;МТК / MTW (Zenner) (Германия);05108331;11.02.2014;465            
Калининский район;71013;"ООО ""Диалог""";Медгородок;10;44869;;ВМХ (г.Москва);9766800;11.02.2014;1394           
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Красного Урала;3;911;;МТК / MTW (Zenner) (Германия);1310024498;02.07.2014;13326          
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Красного Урала;15;919;;WP/WPH (ZENNER) (Германия);13000661;07.07.2014;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Чайковского;14;898;;МТК / MTW (Zenner) (Германия);1310028321;02.07.2014;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Комсомольский;32Б;900;;WP/WPH (ZENNER) (Германия);13025170;02.07.2014;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Куйбышева;29;923;;WP/WPH (ZENNER) (Германия);13029865;07.07.2014;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Комсомольский;30А;907;;WP/WPH (ZENNER) (Германия);13025214;07.07.2014;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Ворошилова;9;631;;WP/WPH (ZENNER) (Германия);13009757;26.06.2014;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Пионерская;14;2886;;WP/WPH (ZENNER) (Германия);13025242;26.06.2014;13250          
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Победы;310;2878;;МТК / MTW (Zenner) (Германия);1310028103;26.06.2014;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Комсомольский;43;2862;;WP / WPH (ZENNER)(Германия);13008097;26.06.2014;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Победы;292;2731;;WP/WPH (ZENNER) (Германия);13029600;26.06.2014;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Победы;308;2882;;WP/WPH (ZENNER) (Германия);13029903;26.06.2014;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Победы;316;2830;;МТК / MTW (Zenner) (Германия);1310028102;26.06.2014;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Победы;294;2873;;МТК / MTW (Zenner) (Германия);11226147;02.07.2014;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Комсомольский;33;2867;;WP / WPH (ZENNER)(Германия);13008112;07.07.2014;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Комсомольский;39А;2864;;WP/WPH (ZENNER) (Германия);13010299;24.06.2014;11465          
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Косарева;12;5833;;МТК / MTW (Zenner) (Германия);11186315;04.06.2014;4563           
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Краснознаменная;14;5738;;МТК / MTW (Zenner) (Германия);1310028340;24.06.2014;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Островского;23А;2377;;МТК / MTW (Zenner) (Германия);1310028338;24.06.2014;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Свердловский;14;2539;;МТК / MTW (Zenner) (Германия);11226162;07.07.2014;13916          
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Куйбышева;88А;674;;WP/WPH (ZENNER) (Германия);13025164;02.07.2014;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Молдавская;23А;2945;;WP/WPH (ZENNER) (Германия);1300919;07.07.2014;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Победы;336;2938;;МТК / MTW (Zenner) (Германия);1310028339;07.07.2014;13001          
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Молдавская;25;2943;;WP/WPH (ZENNER) (Германия);13000662;26.06.2014;2              
Калининский район;71057;"ООО ПК ""Коммунальщик""";Салавата Юлаева;15;18169;;WP/WPH (ZENNER) (Германия);13029824;09.07.2014;1              
Советский район;71072;"ООО ""УК ""Альфа""";Доватора;10В;29410;;СКБ (г.Москва);81731-06;02.04.2014;1070           
Курчатовский район;71101;"ООО УК ""СОЮЗ""";Молодогвардейцев;40;3022;;МТК / MTW (Zenner) (Германия);11226169;30.05.2014;4419           
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Шагольская;39;2488;;WP/WPH (ZENNER) (Германия);13042424;30.05.2014;560            
Курчатовский район;71110;"ООО УО ""ИРИДА""";Ворошилова;21;637;;МТК  / MTW (Zenner) (Германия);131005688;04.06.2014;4560           
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Победы;308А;5636;;МТК / MTW (Zenner) (Германия);8488977;04.06.2014;4562           
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Пионерская;4;2855;;WP / WPH (ZENNER)(Германия);12067778;30.05.2014;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Победы;338А;2846;;WP/WPH (ZENNER) (Германия);13029861;03.06.2014;1              
Курчатовский район;71074;"ООО ""УК ""Городок ЧВВАКУШ""";Героя России Молодова;5;20148;;МТК  / MTW (Zenner) (Германия);1210055358;30.09.2013;4              
Курчатовский район;71074;"ООО ""УК ""Городок ЧВВАКУШ""";Героя России Молодова;12;20145;;МТК  / MTW (Zenner) (Германия);1210055245;28.11.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";40-летия Победы;6;17368;;ВСХ (г.Мытищи);1547;17.01.2014;1              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";40-летия Победы;6;16428;;ВСХ (г.Мытищи);1579;17.01.2014;1              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Комсомольский;124;16435;;ВСХ (г.Мытищи);0183;17.01.2014;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Комсомольский;100;16429;;ВСХ (г.Мытищи);1577;17.01.2014;1              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Чичерина;1;1050;;ВСХ (г.Мытищи);12600161;17.01.2014;1              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Молдавская;11;2942;;WP / WPH (ZENNER)(Германия);13008226;28.01.2014;1              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Комсомольский;69;2913;;WP / WPH (ZENNER)(Германия);12030836;16.01.2014;2060           
Курчатовский район;71053;"ООО УК ""НАВЕЛА""";Победы;292А;38390;;ВК-Х (Метер) (С.Петербург);3105382;14.02.2012;4649           
Тракторозаводский район;71013;"ООО ""Диалог""";Савина;8А;22421;;ВСКМ (г.Москва);014514;06.03.2014;2472           
